Journal name,JCR Abbreviation,2025 JIF,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category
Joule,JOULE,37.1,35.4,43.6,Q1,36.6,9.4,153,52404,"CHEMISTRY, PHYSICAL|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY"
Cell Metabolism,CELL METAB,37,30.9,40,Q1,36.6,11.7,133,73683,CELL BIOLOGY|ENDOCRINOLOGY & METABOLISM
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,36.6,25.4,66,Q1,36.4,2.2,5,5119,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,36.3,41.8,45.7,Q1,35.8,13.4,57,26882,ENDOCRINOLOGY & METABOLISM
Physiological Reviews,PHYSIOL REV,35.7,28.7,42.7,Q1,35.5,10.9,0,42535,PHYSIOLOGY
Nature Reviews Electrical Engineering,NAT REV ELECTR ENG,34.8,NA,34.8,Q1,34.1,6.8,0,2048,"ENGINEERING, ELECTRICAL & ELECTRONIC"
Lancet Respiratory Medicine,LANCET RESP MED,34.7,32.8,34.2,Q1,34.2,16.2,69,25277,CRITICAL CARE MEDICINE|RESPIRATORY SYSTEM
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,34.5,34.5,42.1,Q1,34.3,10.2,0,10383,PATHOLOGY
Nature Reviews Rheumatology,NAT REV RHEUMATOL,33.7,32.7,40.7,Q1,33.1,5.3,6,20561,RHEUMATOLOGY
LANCET ONCOLOGY,LANCET ONCOL,33.7,35.9,40.5,Q1,33.1,9.5,139,77887,ONCOLOGY
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,32.8,26.1,32.8,Q1,32.4,5.7,0,30170,POLYMER SCIENCE
Molecular Plant,MOL PLANT,32.7,24.1,31.3,Q1,32.1,5.1,88,32597,BIOCHEMISTRY & MOLECULAR BIOLOGY|PLANT SCIENCES
Nature Sustainability,NAT SUSTAIN,32.1,27.1,35.4,Q1,31.9,6.8,138,32291,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES|GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY
eLight,ELIGHT,31.4,32.1,27,Q1,31.1,4,20,2096,OPTICS
Nature Reviews Neurology,NAT REV NEUROL,31.2,33.1,40,Q1,31,5.4,13,25085,CLINICAL NEUROLOGY
CELL RESEARCH,CELL RES,31.1,25.9,38.8,Q1,30.7,6.5,61,30501,CELL BIOLOGY
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,31,27,25.6,Q1,29.7,2.2,100,25431,INFORMATION SCIENCE & LIBRARY SCIENCE
PROCEEDINGS OF THE IEEE,P IEEE,30.9,25.9,30,Q1,30.9,3.6,40,47784,"ENGINEERING, ELECTRICAL & ELECTRONIC"
Nature Water,NAT WATER,30.7,24.1,30.7,Q1,29.9,9.2,97,6496,ENVIRONMENTAL SCIENCES|WATER RESOURCES
Immunity,IMMUNITY,30.6,26.3,32.3,Q1,30.1,6.3,154,80786,IMMUNOLOGY
Energy & Environmental Science,ENERG ENVIRON SCI,30.5,30.8,32.7,Q1,29.4,8.8,565,139545,"CHEMISTRY, MULTIDISCIPLINARY|ENERGY & FUELS|ENGINEERING, CHEMICAL|ENVIRONMENTAL SCIENCES"
Exploration,EXPLORATION-PRC,30.4,22.5,27.6,Q1,29.8,4.6,59,7152,"MATERIALS SCIENCE, MULTIDISCIPLINARY|MULTIDISCIPLINARY SCIENCES|NANOSCIENCE & NANOTECHNOLOGY"
ACM COMPUTING SURVEYS,ACM COMPUT SURV,30.4,28,31.4,Q1,30,8.6,286,48496,"COMPUTER SCIENCE, THEORY & METHODS"
Advances in Optics and Photonics,ADV OPT PHOTONICS,30.1,23.8,36.9,Q1,29.9,6.3,7,5691,OPTICS
Nature Machine Intelligence,NAT MACH INTELL,29.8,23.9,36,Q1,29.3,6,138,23900,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
Nature Chemical Engineering,NAT CHEM ENG,29.7,NA,29.7,Q1,29.2,6.2,51,1997,"ENGINEERING, CHEMICAL"
Gastroenterology,GASTROENTEROLOGY,29.7,25.1,31.1,Q1,29,10.3,116,93386,GASTROENTEROLOGY & HEPATOLOGY
Lancet Rheumatology,LANCET RHEUMATOL,29.5,16.4,18.9,Q1,29.2,6.1,52,6511,RHEUMATOLOGY
Cancer Discovery,CANCER DISCOV,29.5,33.3,33.6,Q1,29,6.5,107,40579,ONCOLOGY
Living Reviews in Solar Physics,LIVING REV SOL PHYS,29.4,27.6,28,Q1,29,3,0,2460,ASTRONOMY & ASTROPHYSICS
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,29.4,31,26,Q1,28.7,12.2,115,42054,INFECTIOUS DISEASES
EUROPEAN UROLOGY,EUR UROL,29.1,25.2,25,Q1,28.3,12.2,67,38364,UROLOGY & NEPHROLOGY
